NR_VOTAVEL;NM_VOTAVEL;NM_URNA;SG_PARTIDO;RESULTADO;TOTAL_VOTOS
40555;Romero Jatobá Cavalcanti Neto;Romerinho Jatobá;PSB;ELEITO;20264
22222;Gilson Machado Guimarães;Gilson Machado Filho;PL;ELEITO;16095
40888;Aderaldo De Oliveira Florêncio;Aderaldo Pinto;PSB;ELEITO;15793
40000;Andreza Bandeira Ferreira De Oliveira Melo Albuquerque;Andreza Romero;PSB;ELEITO;15785
40123;Natália Rayane Couto Barbosa Santana;Natália De Menudo;PSB;ELEITO;15198
40444;Rafael Acioli Medeiros;Eriberto Rafael;PSB;ELEITO;14867
13100;Liana Cristina Da Costa Cirne Lins;Liana Cirne;PT;ELEITO;14810
40654;Luiz Felipe Camara De Oliveira Pontes;Felipe Francismar;PSB;ELEITO;13850
40623;Carlos Eduardo Muniz Pacheco;Carlos Muniz;PSB;ELEITO;13400
15615;Samuel Rodrigues Dos Santos Salazar;Samuel Salazar;MDB;ELEITO;13348
40540;Rinaldo Alves De Lima Junior;Rinaldo Junior;PSB;ELEITO;12664
43999;Marco Aurélio De Medeiros Lima Ii;Marco Aurélio Filho ;PV;ELEITO;12424
40002;Rubem Rodrigues Da Silva;Agora é Rubem;PSB;ELEITO;12240
55122;Davi Bernardo Muniz;Davi Muniz;PSD;ELEITO;11946
22622;Frederico Menezes De Moura Sobrinho Ferreira;Fred Ferreira;PL;ELEITO;11804
40678;Eduardo Knauer Da Mota;Eduardo Mota;PSB;ELEITO;11786
65113;Maria Aparecida Pedrosa Bezerra;Cida Pedrosa;PC do B;ELEITO;11364
43643;Flávia Renata Queiroz Do Nascimento;Flávia De Nadegi;PV;ELEITO;11278
40900;Jos? Louren?o De Sobral Neto;Z? Neto;PSB;ELEITO;11027
22822;Thiago Medina Duarte;Thiago Medina;PL;ELEITO;10540
40500;Luiz Eustáquio Ramos Neto;Luiz Eustáquio;PSB;ELEITO;10474
40040;Cleto Correia Lima J?nior;J?nior De Cleto;PSB;ELEITO;9922
40028;Helio Batista De Oliveira;H?lio Guabiraba;PSB;ELEITO;9793
15111;Fabiano Ferraz;Fabiano Ferraz;MDB;ELEITO;9778
40456;Jos? Wilton De Brito Cavalcanti;Wilton Brito;PSB;ELEITO;9496
40999;Francisco Ferreira Da Silva Filho;Chico Kiko;PSB;SUPLENTE;9432
22321;Paulo Sergio Moreira Muniz Filho;Paulo Muniz;PL;ELEITO;9395
13613;Karina Da Silva Santos;Kari Santos;PT;ELEITO;9321
13650;Osmar Ricardo Cabral Barreto;Osmar Ricardo;PT;SUPLENTE;9268
13001;Jairo Xavier De Britto;Professor Jairo Britto;PT;SUPLENTE;9042
70000;Alcides Teixeira Neto;Alcides Teixeira Neto;AVANTE;ELEITO;8909
40147;Almir Fernando Alves;Almir Fernando;PSB;SUPLENTE;8722
10123;Ana L?cia Do Rego Ferreira;Professora Ana L?cia;REPUBLICANOS;ELEITO;8592
40699;Eduardo Amorim Marques Da Cunha;Eduardo Marques;PSB;SUPLENTE;8346
10000;Rodrigo Bezerra Coutinho De Melo;Rodrigo Coutinho;REPUBLICANOS;ELEITO;8317
40112;Joselito Ferreira Da Silva;Joselito Ferreira;PSB;SUPLENTE;8260
40140;Aline Brito Martins Da Fonseca;Aline Mariano;PSB;SUPLENTE;8031
55045;Inaldo Gerson Pereira Freires;Junior Boc?o;PSD;ELEITO;7985
30630;Felipe Espindola Alecrim;Felipe Alecrim;NOVO;ELEITO;7901
22111;Nilson Pereira Da Silva;Nilson Pereira;PL;SUPLENTE;7702
50000;Maria Joselita Pereira Cavalcanti;J? Cavalcanti;PSOL;ELEITO;7619
11611;Alef Cleiton Collins Aguiar Gon?alves;Alef Collins;PP;ELEITO;7131
11011;Ronaldo Lopes Da Silva;Ronaldo Lopes;PP;SUPLENTE;7000
15015;Tadeu Henrique Pimentel Calheiros;Tadeu Calheiros;MDB;ELEITO;6916
55999;Josu? Varela De Oliveira;Doduel Varela;PSD;SUPLENTE;6577
11000;Emanoel Estanislau Gouveia;Pb. Emanoel Estanislau;PP;SUPLENTE;6407
27424;Benjamim Goncalves Da Silva Junior;Benjamim Da Sa?de;DC;N?O ELEITO;6382
55555;Andr?a Dubeux De Paula Travassos;D?a De Paula;PSD;SUPLENTE;6016
15620;Ivo Irineu Bispo;Ivo Do Armazem;MDB;SUPLENTE;5638
18888;Weberson Fl?vio Sobral Flor?ncio;Ebinho Florencio;REDE;SUPLENTE;5391
55666;Antonio Luiz Da Silva Neto;Antonio Luiz Neto;PSD;SUPLENTE;5314
15777;Waldomiro Amorim Rolim Mota;Professor Mirinho;MDB;SUPLENTE;5312
30333;Eduardo Ramos De Moura;Eduardo Moura;NOVO;ELEITO;5283
65100;Jose Francis Herbert Da Concei??o;Francis Herbert;PC do B;SUPLENTE;5275
43333;Victor Andr? Gomes Cavalcanti Batista;Victor Andr? Gomes;PV;SUPLENTE;5269
22022;Alcides Jose De Albuquerque Cardoso;Alcides Cardoso;PL;SUPLENTE;5189
40333;Irinaldo Joao Da Silva;Tadinho Jo?o;PSB;SUPLENTE;5082
22333;Rog?rio Magalhaes Mello;Tenente Rogerio Magalhaes;PL;SUPLENTE;5009
25025;Gilberto Dario De Melo Alves;Gilberto Alves;PRD;ELEITO;4985
22122;Rodrigo De Miranda Ferreira Gomes;Rodrigo Gomes;PL;SUPLENTE;4930
13123;Tomas Agra Celino De Melo;Tomas Do Mst;PT;SUPLENTE;4920
50100;Carolina Barbosa Oliveira Vergolino;Carol Vergolino;PSOL;SUPLENTE;4907
40245;Geovane Jovino Da Silva;Vanio Silva;PSB;SUPLENTE;4788
40670;Marcos Antonio Gomes Da Silva J?nior;J?nior Di Bria;PSB;SUPLENTE;4572
15555;Elson Carlos Ferreira Do Nascimento;Elson ?tica;MDB;SUPLENTE;4560
11111;Gilv?nia L?cia Mendes De Moura Gomes;Gil T?rcio;PP;SUPLENTE;4507
40400;Maria Do Ceu De Ataide Vasconcelos;Maria Do C?u;PSB;SUPLENTE;4367
15123;F?bio Gomes De Souza Junior;F?bio Gomes;MDB;SUPLENTE;4091
13456;Andr? Wilson De Queiroz Campos;Andr? Campos;PT;SUPLENTE;4017
55010;Andr? Regis De Carvalho;Andre Regis;PSD;SUPLENTE;3983
22123;Flavia Araujo Dos Santos Lucena;Pastora Fl?via Santos;PL;SUPLENTE;3847
15000;Gutembergue Alves De Santana Junior;Bergue Junior;MDB;SUPLENTE;3841
15115;Murilo Rodrigues Cavalcanti;Murilo;MDB;SUPLENTE;3757
70777;Douglas Pereira De Brito;Douglas Brito Ativista;AVANTE;SUPLENTE;3741
30000;George Emilio De Moraes Bastos Goncalves;George Bastos;NOVO;SUPLENTE;3714
40543;Paulo Giroldo Cavalcanti Da Silva;Giroldo;PSB;SUPLENTE;3506
70555;Dilson Batista De Albuquerque;Dilson Batista;AVANTE;SUPLENTE;3494
70615;Jo?o De Deus Dos Santos;Jo?o De Deus;AVANTE;SUPLENTE;3494
70622;Samuel Souza Da Silva;Cabo Samuel;AVANTE;SUPLENTE;3494
40800;Priscila Araujo Ferraz;Priscila Ferraz;PSB;SUPLENTE;3466
10910;Maria Goretti Cordeiro De Queiroz;Goretti Queiroz;REPUBLICANOS;SUPLENTE;3459
11456;Ant?nio Batista De Moura Filho;Toinho Da Uni?o;PP;SUPLENTE;3439
11555;Wendel Felix Dos Santos;Wendel Felix;PP;SUPLENTE;3439
11667;Amaro Cipriano De Lima;Maguari;PP;SUPLENTE;3416
13144;Jo?o Da Costa Bezerra Filho;Jo?o Da Costa;PT;SUPLENTE;3373
10321;Daniel Tadeu Uch?a Mateus;Daniel Uch?a;REPUBLICANOS;SUPLENTE;3180
13000;Suzineide Rodrigues De Medeiros;Suzi Rodrigues;PT;SUPLENTE;3079
30300;Eduardo Inojosa Goncalves De Barros;Eduardo Inojosa;NOVO;SUPLENTE;2791
30622;Mario Brasiliano Do Nascimento;Mario Brasiliano;NOVO;SUPLENTE;2622
10500;Thiago Nobrega De Lima;Thiaguinho Filho Do Jord?o;REPUBLICANOS;SUPLENTE;2610
15222;Waldyr Pequeno De Arruda Junior;Badizinho;MDB;SUPLENTE;2599
